episode,step,maxsnr_actions,fedcombo_actions,maxsnr_connected,fedcombo_connected,maxsnr_sum_rate,fedcombo_sum_rate,ue_positions,sbs_positions
0,0,"[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 1, 1, 1]","[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 2, 1, 1]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, False, True, False]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, True, True, False]",2850982508.604402,2929234176.166112,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,1,"[1, 3, 2, 3, 3, 1, 1, 1, 1, 1, 2, 3, 2, 3, 2, 3, 1, 2, 1, 1]","[2, 3, 2, 3, 3, 1, 3, 1, 1, 1, 2, 3, 2, 3, 2, 3, 1, 2, 1, 1]","[True, True, True, False, True, False, False, False, False, False, False, False, True, True, False, False, False, True, True, False]","[True, True, True, False, True, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True]",3045150456.6276383,2949054198.6800385,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,2,"[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 1, 3, 3, 2, 2, 1, 1, 1, 1]","[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 1, 3, 3, 2, 2, 1, 1, 1, 1]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, True, False, False, True, False]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, True, False, False, True, False]",2767871380.5353084,2767871380.5353084,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,3,"[1, 3, 3, 3, 3, 1, 2, 1, 1, 1, 2, 1, 3, 3, 2, 2, 1, 2, 1, 1]","[1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 2, 1, 3, 3, 2, 2, 1, 2, 1, 1]","[False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, True]","[False, True, True, False, False, True, False, False, False, False, False, False, False, True, True, True, False, True, False, True]",2273131680.282294,2273131680.282294,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,4,"[1, 3, 3, 3, 3, 1, 2, 1, 1, 2, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1]","[1, 3, 3, 3, 3, 1, 2, 1, 1, 2, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1]","[False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True]","[False, True, True, False, False, False, False, False, False, False, False, False, False, True, True, True, False, True, True, True]",2956762053.9729185,2956762053.9729185,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,5,"[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 2, 1, 1]","[1, 3, 3, 1, 3, 1, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 2, 1, 1]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, True, True, False]","[False, True, True, False, False, True, True, False, False, False, False, False, False, True, True, False, False, True, True, False]",2507793413.6349764,2402489879.452356,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,6,"[1, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1]","[2, 3, 3, 3, 3, 1, 3, 1, 1, 1, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1]","[False, True, True, False, False, False, False, False, True, False, False, False, True, True, True, True, False, False, True, False]","[True, True, True, False, False, False, False, False, True, False, False, False, True, True, True, False, False, False, True, False]",3454359132.6609,3452130395.021884,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,7,"[1, 3, 2, 3, 3, 1, 3, 1, 1, 2, 2, 3, 2, 3, 2, 1, 1, 2, 1, 1]","[1, 3, 3, 3, 3, 1, 3, 1, 1, 2, 2, 3, 2, 3, 1, 1, 1, 2, 1, 1]","[False, True, True, True, False, False, False, False, False, False, False, False, False, True, True, False, False, True, True, True]","[False, True, False, True, False, False, False, False, False, False, True, False, True, True, False, False, False, True, True, True]",3146546377.173818,3304469038.0249248,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,8,"[1, 3, 2, 3, 3, 1, 1, 1, 1, 3, 2, 1, 3, 3, 2, 2, 1, 1, 1, 1]","[1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 2, 3, 3, 3, 2, 2, 1, 1, 1, 1]","[True, True, True, True, False, False, False, False, False, False, False, False, False, True, True, True, False, False, True, False]","[True, True, True, True, False, False, False, False, False, False, True, False, False, False, True, True, False, False, True, False]",3026179124.8084555,2879032809.3671627,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
0,9,"[1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 2, 1, 3, 3, 2, 2, 1, 2, 1, 1]","[1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 2, 3, 3, 3, 2, 3, 1, 2, 1, 1]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, True, True, False]","[False, True, True, False, False, True, False, False, False, False, True, False, False, True, True, False, False, True, True, False]",3240413521.5058565,3240413521.5058565,"[[25.9293972889661, 48.1322184332332], [79.38292109375159, 39.517486902883725], [69.07705525717967, 37.604165009795224], [49.68344383645957, 44.10677664645113], [73.51702861754545, 31.414179866157333], [17.54629384081386, 44.56791627655587], [33.05885439098464, 54.55373762443038], [5.0, 25.59636201169571], [15.896312131239032, 46.62292444635855], [56.677856273484984, 59.29670207061534], [50.94572997602054, 86.03709570607482], [21.5327690175707, 85.89195577097951], [34.94651616083884, 43.866115917806056], [76.21620750563534, 42.735930909532904], [53.96749501384476, 12.20472905944547], [70.28104869398453, 53.05146505754226], [36.378537319927375, 73.07429627427234], [34.2555863433316, 46.27983115845212], [20.72333577977318, 42.24903891577034], [26.27641925409197, 30.985067235347962]]","[[20.118216247002568, 44.48649447137244], [54.50463696325935, 38.11831452010485], [76.44159612719633, 39.233264489725755]]"
